CLIENTNUM,Churn,churn_probability,risk_band
718744008,0,0.0001,Low
767712558,1,1.0,Very High
712950783,1,1.0,Very High
716104983,0,0.0,Low
818839983,0,0.0,Low
772288758,0,0.0,Low
712350858,0,0.0,Low
711009708,0,0.0004,Low
712720158,0,0.0,Low
712215258,0,0.9856,Very High
773827008,0,0.0,Low
795232683,0,0.0,Low
713786508,0,0.0727,Low
713539833,0,0.0,Low
712454058,0,0.0023,Low
718759833,0,0.0,Low
718803333,0,0.0016,Low
720253908,0,0.0,Low
714133158,0,0.5829,High
713187033,0,0.0,Low
714791208,0,0.1263,Low
772426383,0,0.0,Low
710975883,0,0.0004,Low
714264408,0,0.0,Low
715827858,0,0.0,Low
713741358,1,0.9995,Very High
709531908,0,0.5746,High
716493408,0,0.0,Low
714141108,0,0.0001,Low
708953883,1,1.0,Very High
712608783,0,0.0,Low
820353558,0,0.0,Low
714964758,0,0.0001,Low
716264358,0,0.0094,Low
717296808,0,0.0,Low
712977183,0,0.0,Low
710829108,0,0.0313,Low
779562633,0,0.0,Low
715315833,0,0.0,Low
815500983,0,0.0,Low
719360583,0,0.0,Low
709701558,0,0.0,Low
721148358,0,0.0329,Low
779862408,0,0.0089,Low
812627208,0,0.0,Low
711033408,0,0.0,Low
779956608,0,0.0,Low
780376683,0,0.0,Low
717912483,0,0.0008,Low
714454758,0,0.0,Low
780466533,0,0.0,Low
715735233,0,0.0,Low
720476733,0,0.9977,Very High
715872333,0,0.0,Low
712375758,0,0.0,Low
708868233,1,1.0,Very High
718030083,0,0.0,Low
720707283,0,0.0,Low
771698658,0,0.0,Low
748326258,0,0.0009,Low
770817783,0,0.0005,Low
779353083,0,0.0,Low
711441333,0,0.0,Low
719808558,1,1.0,Very High
711551958,1,1.0,Very High
809164083,0,0.0,Low
820596183,0,0.0063,Low
715999608,0,0.0,Low
710565408,0,0.0007,Low
805543158,0,0.0,Low
709752183,0,0.0001,Low
716479233,0,0.0,Low
713837058,0,0.0,Low
718876683,0,0.0,Low
770746908,0,0.0001,Low
794843883,0,0.0,Low
803043933,0,0.0,Low
758076408,0,0.6346,High
714606558,0,0.0,Low
778425408,0,0.0,Low
714171108,0,0.0001,Low
719662458,0,0.0003,Low
713137233,0,0.0,Low
769425858,0,0.0003,Low
711297483,0,0.0023,Low
788900883,0,0.0,Low
758348808,0,0.0,Low
772336458,1,0.9988,Very High
708711483,0,0.0,Low
717906783,0,0.0,Low
719437908,0,0.0,Low
769433508,0,0.0044,Low
790096533,0,0.0,Low
720997383,1,0.9995,Very High
787541883,0,0.7086,High
709930758,0,0.0,Low
789830058,0,0.0,Low
710299608,1,1.0,Very High
710741208,0,0.0,Low
821797008,1,1.0,Very High
708874533,1,1.0,Very High
715341858,0,0.0,Low
793636308,0,0.0191,Low
713779908,0,0.0001,Low
712125258,1,1.0,Very High
709703433,0,0.0,Low
721022433,0,0.0028,Low
710103558,0,0.0,Low
715952883,0,0.0,Low
719731458,0,0.0,Low
772390908,1,0.9999,Very High
787348608,0,0.0,Low
709485033,0,0.0,Low
715432608,0,0.0,Low
799471833,0,0.0,Low
714187533,0,0.0179,Low
779656908,0,0.0,Low
788950158,0,0.0062,Low
778867533,1,1.0,Very High
710620383,0,0.0,Low
778661358,0,0.0001,Low
789483333,0,0.0001,Low
809855808,0,0.0,Low
718464258,0,0.0215,Low
708528483,0,0.0001,Low
771809733,1,1.0,Very High
719942883,0,0.0002,Low
807226683,0,0.0002,Low
717806133,0,0.0,Low
720615708,0,0.0007,Low
714511758,0,0.0,Low
715050408,0,0.6794,High
721132233,0,0.0031,Low
719211558,1,0.9999,Very High
712069008,0,0.0,Low
715996983,0,0.0,Low
773466258,0,0.0,Low
798983508,0,0.0,Low
719117433,0,0.0,Low
716451183,0,0.0,Low
718621608,1,0.9998,Very High
715085733,0,0.0,Low
788977833,0,0.0001,Low
720272958,1,0.9948,Very High
708421833,0,0.0133,Low
709173108,1,0.995,Very High
709879458,0,0.0046,Low
715120608,0,0.1002,Low
770632758,0,0.0185,Low
779078733,0,0.0001,Low
771742533,0,0.4173,Medium
720250158,0,0.0,Low
716458983,0,0.0,Low
713747733,0,0.0,Low
712270158,0,0.0,Low
789562383,0,0.0203,Low
754897008,0,0.867,Very High
819700533,0,0.2334,Medium
712890408,0,0.0,Low
720248208,0,0.0,Low
779749908,0,0.6768,High
717401883,0,0.0,Low
721509558,0,0.0,Low
710572458,0,0.0092,Low
714576183,0,0.0,Low
721425558,0,0.9989,Very High
711109908,0,0.0014,Low
715203108,0,0.1269,Low
710027508,0,0.0,Low
787464408,0,0.0008,Low
783542133,0,0.0,Low
708330858,1,0.9988,Very High
714426783,0,0.0,Low
712701333,0,0.0,Low
709494483,0,0.0,Low
773373108,0,0.0,Low
715812258,0,0.0,Low
778286433,0,0.0,Low
789270033,0,0.6301,High
711569433,0,0.0,Low
720214833,0,0.0,Low
709346133,0,0.0,Low
788194458,0,0.0,Low
720779733,0,0.0,Low
717424458,0,0.0,Low
708820308,0,0.0001,Low
710558058,0,0.0021,Low
770590758,0,0.0,Low
718490658,0,0.0,Low
711985833,0,0.0,Low
708967608,0,0.0033,Low
718505958,0,0.0,Low
715024233,0,0.0,Low
779249583,0,0.0,Low
709278258,1,0.8025,Very High
778928283,0,0.0,Low
712299858,0,0.0,Low
799224108,0,0.0,Low
809976033,0,0.0,Low
716203308,0,0.0,Low
714871683,1,1.0,Very High
716139933,0,0.0,Low
716984658,0,0.0283,Low
713086008,0,0.0,Low
713773458,0,0.0,Low
719242533,0,0.0009,Low
772712658,0,0.0,Low
788868858,0,0.0002,Low
811898133,0,0.0015,Low
788808633,0,0.0,Low
779804208,0,0.0,Low
781391058,0,0.7587,High
790134408,0,0.0,Low
788853258,0,0.0,Low
711857733,0,0.0,Low
822969858,0,0.0,Low
719554758,0,0.0007,Low
711643458,0,0.0001,Low
788830683,0,0.0,Low
807030858,0,0.0001,Low
793059108,0,0.6935,High
716568708,0,0.6913,High
828281733,0,0.0,Low
717229158,0,0.0,Low
715915458,0,0.0,Low
819129858,0,0.0,Low
713441958,0,0.0,Low
719091333,0,0.001,Low
708666258,0,0.0,Low
714914583,0,0.0116,Low
714363858,0,0.0009,Low
721347408,0,0.0,Low
809608533,0,0.0,Low
772047183,0,0.0,Low
714217908,0,0.0007,Low
714819183,0,0.0,Low
716455683,0,0.0002,Low
710865633,0,0.0,Low
752952108,0,0.0,Low
712595433,0,0.0,Low
714982383,0,0.0,Low
813814008,0,0.0,Low
794545983,0,0.0001,Low
708288108,1,1.0,Very High
715585158,0,0.0,Low
810449883,0,0.0,Low
789863208,0,0.0,Low
715022133,0,0.0,Low
712506708,0,0.0001,Low
715699983,0,0.0,Low
818942433,0,0.0,Low
712459233,0,0.0001,Low
716545383,0,0.0,Low
721144383,0,0.0002,Low
821837958,0,0.0,Low
804359133,0,0.0,Low
713308683,0,0.0018,Low
788780958,0,0.0215,Low
717354558,1,0.9997,Very High
798473808,0,0.004,Low
712372158,0,0.0,Low
715192308,0,0.0,Low
708813033,0,0.0,Low
714639783,1,0.9991,Very High
709311633,0,0.0008,Low
709470858,0,0.0,Low
717292758,0,0.012,Low
779241783,0,0.0,Low
715205358,0,0.0,Low
778871508,0,0.0,Low
779462433,0,0.0254,Low
710147958,0,0.0,Low
709864833,0,0.0,Low
778868958,1,0.816,Very High
717276708,0,0.001,Low
710004933,0,0.0,Low
753606108,0,0.2573,Medium
710940183,1,0.9995,Very High
718927533,0,0.0,Low
719337408,0,0.0018,Low
772308408,0,0.1162,Low
712981383,0,0.0003,Low
790099758,0,0.0319,Low
709547658,1,0.9995,Very High
778770783,0,0.0,Low
713134458,0,0.0582,Low
712159083,1,1.0,Very High
713639958,0,0.0,Low
771180033,0,0.0,Low
717916758,0,0.0,Low
711089733,0,0.1106,Low
716988633,0,0.0007,Low
779031033,0,0.0,Low
716302383,0,0.0,Low
718281408,0,0.0,Low
721333233,0,0.0,Low
794496033,0,0.0,Low
710519433,0,0.0,Low
814995933,0,0.0001,Low
721469433,0,0.0,Low
788386908,0,0.0,Low
717198633,0,0.0,Low
767695083,0,0.0781,Low
711791583,1,1.0,Very High
712315683,1,0.0097,Low
710038008,0,0.0025,Low
789129033,0,0.0,Low
718349058,0,0.0,Low
789842283,1,1.0,Very High
714513033,0,0.0005,Low
714717483,0,0.001,Low
714900408,0,0.0003,Low
719418933,1,1.0,Very High
720115683,0,0.0,Low
779504058,0,0.0,Low
795979833,0,0.0,Low
717392358,0,0.0,Low
718640508,0,0.0,Low
803366358,0,0.0,Low
709230708,0,0.0002,Low
781794708,1,0.9889,Very High
801383808,0,0.0,Low
710677608,0,0.0,Low
708217758,0,0.0,Low
714272658,1,1.0,Very High
717469158,0,0.0,Low
711864783,0,0.0,Low
719407983,0,0.0,Low
710665533,0,0.0,Low
716804283,0,0.0,Low
767294658,1,1.0,Very High
709122483,0,0.0,Low
708241233,1,1.0,Very High
717860358,0,0.0007,Low
789337233,0,0.0012,Low
720902133,0,0.0082,Low
721043058,0,0.0,Low
711870333,0,0.0,Low
708398283,0,0.0001,Low
715878183,0,0.002,Low
719451483,0,0.0,Low
709110633,0,0.0,Low
721059033,0,0.0001,Low
779912283,0,0.0208,Low
717701733,0,0.0,Low
709913733,0,0.0,Low
718768158,0,0.161,Low
721375308,0,0.0,Low
711374283,0,0.0,Low
822893133,0,0.0001,Low
778465533,0,0.0057,Low
712138983,0,0.0,Low
716920908,0,0.0,Low
708095133,0,0.0003,Low
711195558,0,0.0,Low
772735758,0,0.0,Low
712024908,0,0.0,Low
778239933,0,0.0,Low
714893733,0,0.0,Low
754886958,0,0.0,Low
710104908,0,0.0,Low
710558883,0,0.0,Low
713827383,0,0.0,Low
720267033,0,0.0002,Low
712049208,0,0.0,Low
708688608,0,0.0,Low
716223708,1,0.9998,Very High
713217858,0,0.7434,High
819352983,0,0.0,Low
711019308,0,0.0,Low
768600558,0,0.0,Low
710202783,0,0.0051,Low
712899333,0,0.0031,Low
767036433,0,0.0,Low
793473033,0,0.0001,Low
721232058,0,0.0001,Low
719443683,1,0.0119,Low
715449333,0,0.0,Low
717998058,0,0.0,Low
779610033,1,0.9982,Very High
827332983,0,0.0,Low
721183983,0,0.0,Low
718426533,0,0.0002,Low
710698233,0,0.0,Low
780253533,0,0.0,Low
793581933,0,0.0,Low
719229708,0,0.0032,Low
715158483,0,0.0,Low
809296308,0,0.0,Low
778176108,0,0.0,Low
796532958,0,0.0,Low
709345008,1,1.0,Very High
717049533,0,0.0,Low
719366358,0,0.0,Low
721417233,1,1.0,Very High
711622683,0,0.0001,Low
714578283,0,0.0,Low
769574883,0,0.8363,Very High
717643608,0,0.0151,Low
709198158,0,0.0056,Low
712419708,0,0.0,Low
709103358,0,0.0,Low
716966808,0,0.0023,Low
772264383,0,0.0021,Low
721057758,0,0.0,Low
769137108,1,0.9999,Very High
717640083,1,1.0,Very High
716445783,0,0.0,Low
708579633,0,0.0001,Low
718715583,0,0.0,Low
778686408,0,0.0,Low
715015683,0,0.0001,Low
805254708,0,0.0,Low
710462433,0,0.0,Low
721342383,0,0.0,Low
720179883,0,0.0062,Low
794977533,1,0.9999,Very High
779445108,0,0.0,Low
718193958,0,0.0,Low
710955633,0,0.0,Low
716149383,0,0.0,Low
752604633,1,1.0,Very High
713889933,0,0.1761,Low
709446783,0,0.0001,Low
789115833,0,0.0,Low
711242058,1,1.0,Very High
787623858,0,0.0,Low
709040508,0,0.0,Low
708864708,0,0.0008,Low
717758583,0,0.0,Low
715416633,0,0.0001,Low
717956283,0,0.0,Low
721379433,0,0.0087,Low
712027683,0,0.0,Low
716027208,0,0.0,Low
720475233,0,0.0,Low
712275108,0,0.0,Low
718121658,1,1.0,Very High
711593808,1,0.9999,Very High
716222808,0,0.0,Low
718731183,1,1.0,Very High
788779008,0,0.0,Low
710404533,0,0.0015,Low
711173058,0,0.0,Low
715383108,0,0.0003,Low
711697158,0,0.0,Low
709186983,0,0.0,Low
808964433,0,0.0,Low
711948333,0,0.0044,Low
710541858,0,0.0,Low
713865333,1,1.0,Very High
797707008,1,0.9937,Very High
713490483,0,0.0019,Low
720370533,1,1.0,Very High
779743908,0,0.1406,Low
718675158,1,1.0,Very High
710784333,0,0.0,Low
816596583,0,0.0002,Low
717517758,0,0.0003,Low
712880283,0,0.0,Low
753226158,0,0.0,Low
720605808,1,1.0,Very High
758317233,0,0.0,Low
711028308,0,0.0015,Low
814852533,0,0.0,Low
711526533,0,0.0,Low
804403908,0,0.0971,Low
716999883,0,0.0,Low
716452083,0,0.0,Low
787599258,0,0.0,Low
714495258,0,0.9611,Very High
717713283,0,0.0,Low
789317883,0,0.0001,Low
714500883,0,0.0135,Low
789467508,0,0.0,Low
710317758,0,0.0,Low
711231558,0,0.0,Low
716829483,0,0.0,Low
779713608,0,0.0,Low
711628458,0,0.0,Low
718943508,0,0.0004,Low
770724558,1,0.987,Very High
783561558,0,0.0301,Low
719309958,1,0.9974,Very High
788785083,0,0.0,Low
780481308,0,0.009,Low
711757383,0,0.8305,Very High
787550808,0,0.0001,Low
779863533,0,0.0001,Low
714529233,0,0.0,Low
708177333,0,0.0001,Low
812019933,0,0.0,Low
708557358,0,0.0,Low
713580633,0,0.0256,Low
711466533,0,0.0151,Low
802276683,0,0.0001,Low
780913308,0,0.0,Low
808897683,1,0.0282,Low
719428308,0,0.0,Low
713010483,0,0.0,Low
717006333,0,0.0,Low
787621158,0,0.0113,Low
716924058,0,0.0006,Low
720916683,0,0.0036,Low
720923658,0,0.0002,Low
712710708,0,0.0014,Low
718939083,1,1.0,Very High
779519058,0,0.0001,Low
719085933,0,0.0,Low
715124958,0,0.0003,Low
712979133,1,1.0,Very High
712006308,0,0.0003,Low
710801133,0,0.0,Low
712490283,0,0.0,Low
720071583,1,0.9924,Very High
717958833,0,0.0,Low
812420358,1,0.9764,Very High
712370208,0,0.0,Low
715940358,0,0.0001,Low
715041333,0,0.0,Low
712797258,0,0.0,Low
769170558,0,0.0925,Low
715884858,0,0.0002,Low
796343058,0,0.0707,Low
783910008,0,0.0,Low
718888308,0,0.0001,Low
785114808,0,0.0007,Low
709852908,0,0.5841,High
823528833,0,0.0,Low
719679858,0,0.0,Low
827108583,0,0.1157,Low
787833333,0,0.0,Low
719781183,0,0.0,Low
710429358,0,0.0,Low
798792408,1,1.0,Very High
710280558,0,0.0001,Low
809825358,0,0.0,Low
714451833,0,0.0272,Low
713943783,0,0.0,Low
710706558,0,0.0,Low
713620308,0,0.0009,Low
813453408,0,0.0004,Low
818248383,0,0.0002,Low
780106908,0,0.0,Low
708938508,0,0.0,Low
709671708,0,0.0,Low
711204483,1,0.9998,Very High
801728658,0,0.0004,Low
713945883,1,0.9751,Very High
779558733,0,0.0,Low
788370258,0,0.0,Low
714927333,0,0.0,Low
710383158,0,0.139,Low
798007308,0,0.0002,Low
711768858,0,0.0001,Low
714888633,0,0.0,Low
712650333,0,0.0005,Low
719945433,0,0.0077,Low
720310458,0,0.0,Low
718344033,0,0.0,Low
715442958,0,0.0005,Low
780326883,0,0.0015,Low
711157833,0,0.0,Low
719704308,0,0.0,Low
708772308,0,0.0,Low
817663908,0,0.0,Low
780054258,0,0.0001,Low
709990983,0,0.0001,Low
818045958,0,0.0008,Low
716380683,0,0.0,Low
787480158,0,0.0,Low
778461408,0,0.0,Low
713861733,0,0.0,Low
789291633,0,0.0,Low
789513858,1,1.0,Very High
778357458,0,0.0079,Low
718325883,0,0.0,Low
720344658,0,0.0,Low
809292483,0,0.0,Low
779791008,0,0.0,Low
779557533,0,0.0002,Low
795904233,0,0.0,Low
710573808,0,0.0005,Low
717418158,0,0.0,Low
771963708,1,1.0,Very High
712433508,1,0.9999,Very High
779320983,0,0.0,Low
718093233,0,0.0007,Low
719459358,0,0.0,Low
717728808,0,0.0,Low
788701608,0,0.0,Low
778506633,1,1.0,Very High
719989008,0,0.0,Low
791839233,0,0.0,Low
716918508,0,0.0,Low
717321783,0,0.0001,Low
799000008,0,0.0,Low
721517208,0,0.0002,Low
719068683,0,0.0102,Low
709120008,0,0.0,Low
709117533,0,0.0,Low
816594183,0,0.0,Low
789485433,0,0.0001,Low
712881483,0,0.0001,Low
712689333,0,0.0,Low
771492408,0,0.0001,Low
711668283,0,0.0613,Low
772684833,0,0.0,Low
712960308,0,0.0,Low
713530833,1,1.0,Very High
756065433,0,0.0001,Low
710997183,0,0.0002,Low
711146358,0,0.0,Low
716144058,0,0.0001,Low
778699908,1,0.9992,Very High
713571258,0,0.0,Low
711676908,0,0.0,Low
719315508,0,0.0,Low
778623858,0,0.0,Low
714665733,0,0.0,Low
816089433,0,0.0,Low
716991933,1,0.9998,Very High
714534108,0,0.0,Low
787456608,0,0.0,Low
717090183,0,0.0003,Low
772782708,0,0.0,Low
710722908,0,0.0,Low
795155433,0,0.0,Low
715271733,0,0.0004,Low
771706308,0,0.0005,Low
713989233,0,0.0,Low
780198258,0,0.0,Low
802002858,1,0.9997,Very High
716290233,0,0.0008,Low
828298908,0,0.0,Low
788946783,0,0.0,Low
720697908,0,0.0,Low
780598383,0,0.0001,Low
715345833,0,0.3656,Medium
710831133,0,0.0,Low
766706358,0,0.0,Low
816533733,0,0.001,Low
712373208,1,1.0,Very High
721433283,0,0.0001,Low
720680058,0,0.0001,Low
716909283,0,0.0001,Low
754654383,0,0.0,Low
719226333,0,0.0001,Low
779759058,0,0.0,Low
718206783,0,0.0,Low
715783758,0,0.0032,Low
771190083,0,0.0003,Low
713135883,0,0.0,Low
778799583,0,0.0,Low
808796208,0,0.0026,Low
708313608,0,0.0003,Low
779330208,0,0.0002,Low
794498733,0,0.016,Low
807964908,0,0.0001,Low
823845783,0,0.0,Low
711748983,0,0.0,Low
718064283,0,0.0,Low
710492733,0,0.0,Low
779016408,0,0.0,Low
717787533,0,0.0,Low
714851058,0,0.0,Low
823535133,0,0.0,Low
708455883,1,0.7678,High
780095808,0,0.0433,Low
709207458,0,0.0,Low
763895958,1,1.0,Very High
715942683,0,0.0,Low
721301733,0,0.0,Low
711927108,1,1.0,Very High
718083483,0,0.0,Low
717548358,0,0.0,Low
816829608,0,0.0091,Low
713936583,0,0.0,Low
709682658,0,0.0004,Low
793889508,0,0.0003,Low
714648933,0,0.0,Low
711556533,0,0.0133,Low
717420333,0,0.0062,Low
768921933,0,0.0,Low
714311583,0,0.0001,Low
717707133,0,0.0,Low
716043258,0,0.0001,Low
716343408,0,0.0,Low
718909158,0,0.0,Low
719471433,0,0.0,Low
712763808,0,0.2447,Medium
711147483,1,0.2097,Medium
719788833,0,0.0,Low
715168983,0,0.1815,Low
714306258,0,0.0,Low
713828208,0,0.0105,Low
710574558,0,0.0,Low
710947683,0,0.0,Low
711113958,0,0.0,Low
718923858,0,0.0005,Low
752666508,0,0.0105,Low
712672083,0,0.9033,Very High
719863758,0,0.0006,Low
720990183,1,0.9985,Very High
720718908,0,0.0,Low
721250358,0,0.0,Low
779773533,0,0.0001,Low
708249708,0,0.0001,Low
713967783,0,0.0,Low
779506158,0,0.0,Low
759823158,0,0.0089,Low
716608608,1,0.0004,Low
789528183,0,0.0001,Low
708895158,0,0.0027,Low
824805858,0,0.0,Low
720840108,0,0.0,Low
787595658,0,0.0,Low
720244983,0,0.0001,Low
713220258,0,0.0,Low
813469458,0,0.0002,Low
788939358,0,0.0,Low
718870158,0,0.0,Low
788673708,1,0.5618,High
711809283,0,0.0011,Low
816513108,0,0.0,Low
718594608,0,0.0029,Low
823606983,0,0.0,Low
717028158,0,0.0001,Low
788485908,0,0.0019,Low
714472608,0,0.0001,Low
710793783,0,0.0,Low
794340033,0,0.0,Low
716462658,0,0.0091,Low
718050033,0,0.0006,Low
714023808,0,0.0001,Low
716341833,0,0.0,Low
719648358,0,0.0039,Low
816600933,1,0.9861,Very High
714208533,1,1.0,Very High
713095533,0,0.0,Low
809967783,0,0.0083,Low
715848408,0,0.0285,Low
714414483,0,0.0,Low
708655983,0,0.1373,Low
720426708,1,0.9999,Very High
713743158,0,0.0,Low
721279083,0,0.0,Low
779149683,0,0.0,Low
714970458,0,0.0,Low
719070108,0,0.0,Low
715490733,0,0.0001,Low
714989583,0,0.0082,Low
820355433,0,0.0046,Low
715901508,0,0.0,Low
710370483,0,0.0,Low
778573233,0,0.0004,Low
708833133,0,0.0,Low
719885883,0,0.0,Low
712523283,0,0.0006,Low
711309033,0,0.0,Low
708134283,0,0.003,Low
720147633,0,0.0,Low
708983658,1,0.999,Very High
766285608,0,0.0,Low
779715108,0,0.0001,Low
798035358,0,0.0004,Low
719391783,0,0.0,Low
809342208,0,0.7838,High
780713058,0,0.0,Low
779338683,0,0.0004,Low
783387783,0,0.0005,Low
787800108,0,0.0,Low
721397808,0,0.0,Low
778698408,0,0.0,Low
709545333,0,0.0,Low
716032233,0,0.0,Low
717835908,0,0.0154,Low
719466558,0,0.353,Medium
778663458,1,1.0,Very High
716024808,1,0.1261,Low
713008308,0,0.0,Low
794831733,0,0.0,Low
713854608,0,0.0001,Low
715993608,0,0.0003,Low
789368658,0,0.0,Low
802817358,0,0.0032,Low
708098133,0,0.0,Low
801499908,0,0.0001,Low
824770683,0,0.0,Low
718310733,0,0.0483,Low
708162558,0,0.0,Low
721129383,0,0.927,Very High
721249158,1,1.0,Very High
721049658,0,0.0009,Low
806392908,0,0.0191,Low
714886533,0,0.0,Low
772375533,0,0.0,Low
826775058,0,0.0075,Low
711878733,0,0.0,Low
714550383,0,0.0001,Low
712636308,0,0.0,Low
772139433,0,0.0,Low
709058808,0,0.0,Low
813240408,0,0.0,Low
767753958,0,0.0,Low
710111733,0,0.0,Low
761544333,0,0.0001,Low
788814783,0,0.0,Low
715034358,0,0.0506,Low
709624533,0,0.0,Low
709942383,0,0.0,Low
803957508,0,0.0019,Low
713378133,0,0.0012,Low
709217358,0,0.0,Low
720998358,0,0.0014,Low
721051908,0,0.6741,High
715232058,0,0.0,Low
806250783,0,0.0274,Low
817245183,0,0.0,Low
713670333,0,0.0001,Low
826477083,0,0.0002,Low
788728608,0,0.0,Low
717190533,0,0.0001,Low
716580033,0,0.0,Low
711644508,0,0.0,Low
714334383,0,0.0,Low
720611058,0,0.0007,Low
712420833,0,0.0001,Low
713845083,1,0.0001,Low
713756508,0,0.001,Low
735565158,0,0.0,Low
714131058,0,0.0016,Low
717180633,0,0.0,Low
717295683,0,0.0,Low
713128833,0,0.0005,Low
813499458,1,0.9738,Very High
710070183,0,0.0001,Low
789605658,0,0.0002,Low
710045058,0,0.0001,Low
710164683,0,0.0,Low
710802258,0,0.0005,Low
721036233,0,0.0,Low
710036508,0,0.0255,Low
717776808,0,0.0524,Low
714906033,0,0.0,Low
714273708,0,0.001,Low
721117533,0,0.0034,Low
715374558,0,0.0001,Low
824807658,0,0.0009,Low
714940608,0,0.0007,Low
824782008,0,0.0408,Low
717561108,0,0.0023,Low
717127083,0,0.0,Low
772460508,0,0.0,Low
720484908,0,0.0,Low
771237933,0,0.0,Low
794664183,0,0.0,Low
797488158,0,0.0,Low
708543258,0,0.0,Low
778706508,0,0.041,Low
712240083,1,0.9985,Very High
713650683,0,0.0,Low
772532208,1,0.9982,Very High
778929783,1,1.0,Very High
714244383,0,0.0,Low
718797558,0,0.0063,Low
712821333,0,0.0008,Low
721120008,0,0.0,Low
709633533,0,0.0024,Low
710789058,0,0.0491,Low
716174433,0,0.0,Low
789886533,0,0.0027,Low
715210308,0,0.0002,Low
721038408,0,0.0001,Low
713325108,0,0.0001,Low
720352533,0,0.0003,Low
708431433,0,0.0,Low
716996583,0,0.0,Low
718699683,0,0.0016,Low
771359958,0,0.0,Low
716604633,0,0.0,Low
813952233,0,0.0005,Low
713053383,1,0.9973,Very High
709979583,0,0.0008,Low
709380333,0,0.0,Low
778574283,0,0.0221,Low
789875883,0,0.0409,Low
714661233,0,0.0001,Low
813915933,0,0.0,Low
708358683,0,0.0031,Low
824761458,0,0.0,Low
